category,item,status,details
PII,email,VIOLATION,Contains PII keywords
PII,phone,VIOLATION,Contains PII keywords
PII,ssn,VIOLATION,Contains PII keywords
Null Check,customer_id,PASS,0% null
Null Check,customer_name,PASS,0% null
Null Check,email,PASS,0% null
Null Check,phone,PASS,0% null
Null Check,ssn,PASS,0% null
Null Check,status,PASS,0% null
Null Check,created_date,PASS,0% null
